14,Five Star Foodservice Inc,Chattanooga,TN,37416,6005 Century Oaks Dr Ste 100,Hamilton,(423) 643-2600,(423) 643-2628,Jean Bouchard,Chief Financial Officer,Unknown,39,126234251,Restaurant Management,,
15,Atlas Food Systems & Services Inc,Greenville,SC,29615,12 Hermitage Rd,Greenville,(864) 232-1885,(864) 232-1671,Alex Kiriakides,President,Unknown,250,113981845,Food Preparations,,
16,Moms Food Products,Haltom City,TX,76117,2516 Minnis Dr Ste 100,Tarrant,(817) 281-2271,(817) 428-9317,Charles Rankin,Owner,Male,110,112354645,Groceries & Related Products Wholesale,,
17,Buffalo Rock Co,Dothan,AL,36303,3775 Napier Field Rd,Houston,(334) 794-4102,(334) 792-6709,Nancy Littlefield,President,Female,120,105015265,Nondurable Goods Wholesale,,
18,Walton Beverage,Ferndale,WA,98248,1350 Pacific Pl,Whatcom,(360) 380-1660,(360) 380-1668,Eric Foss,Chief Executive Officer,Male,100,101035980,Groceries & Related Products Wholesale,,
19,Temple Bottling Co Ltd,Temple,TX,76504,3510 Parkway Dr,Bell,(254) 773-3376,(254) 778-5414,Ted Floca,President,Male,108,100571032,Groceries & Related Products Wholesale,,
20,Dixie Riverside Beverage Co,Augusta,GA,30906,2719 Mike Padgett Hwy,Richmond,(706) 793-2723,(706) 796-7687,Ed Perry,President,Male,87,100105396,Grocers Wholesale,,
21,Vistar of Ohio,Twinsburg,OH,44087,8745 Chamberlin Rd,Summit,(330) 425-3575,(330) 425-9457,Frank Lutch,President,Male,88,99818807,Grocers Wholesale,,
22,Vistar Distribution Center,Arlington,TX,76018,4905 New York Ave,Tarrant,(682) 323-3880,(817) 852-6425,Libby McDonald,President,Female,75,97982999,Grocers Wholesale,,
23,Sanese Services Inc,Columbus,OH,43229,6465 Busch Blvd,Franklin,(614) 436-1200,N/A,Ralph Sanese,President,Male,200,94929610,Food Preparations,,
24,Treat America Food Services,Mission,KS,66202,8500 Shawnee Mission Pkwy Ste 100,Johnson,(913) 384-4900,(913) 671-7633, ,,,22,91880800,Restaurant Management,,
25,Vistar of New England,Englewood,CO,80112,188 Inverness Dr W Ste 800,Arapahoe,(303) 662-7100,N/A,Mark Allen,President,Male,122,89834429,Durable Goods Wholesale,,
26,Kalil Bottling Co,Tucson,AZ,85719,931 S Highland Ave,Pima,(520) 624-1788,(520) 623-6662,George Kalil,Chief Executive Officer,Male,340,89548830,Automatic Merchandising Machine Operators,,
27,H Betti Industries Inc,Carlstadt,NJ,7072,303 Paterson Plank Rd,Bergen,(201) 438-1300,(201) 438-4837,Peter Betti,Chief Executive Officer,Male,260,89289661,Automatic Merchandising Machine Operators,,
28,Frito-lay North America Inc,Charlotte,NC,28273,2911 Nevada Blvd,Mecklenburg,(704) 588-2840,(704) 588-3250,Lance Haymore,Manager,Male,700,79882628,Automatic Merchandising Machine Operators,,
29,Bernicks Pepsicola Inc,Waite Park,MN,56387,801 Sundial Dr,Stearns,(320) 252-6441,(320) 656-2111, ,,,668,78579818,Automatic Merchandising Machine Operators,,
30,Vistar of Illinois,Bolingbrook,IL,60440,115 E Crossroads Pkwy Ste B,Will,(630) 783-9300,(630) 783-9045,John Ochi,President,Male,100,74768379,Durable Goods Wholesale,,
31,G. W. Services LLC,Vista,CA,92081,1385 Park Center Dr,San Diego,(760) 560-1111,(760) 560-3333,Brian McInerney,Chief Executive Officer,Male,348,72285778,Automatic Merchandising Machine Operators,,
32,Imperial Inc,Tulsa,OK,74116,2020 N Mingo Rd,Tulsa,(918) 437-1300,(918) 437-8283,Paul Tims,Owner,Male,385,70508790,Business Services,,
33,Pepsi-Cola Bottling Co,Great Falls,MT,59401,1212 15th St N,Cascade,(406) 727-8112,N/A,Blane Sherritt,Manager,Male,67,63640608,Groceries & Related Products Wholesale,,
34,Pepsi-Cola Bottling Co,Twin Falls,ID,83301,535 Eastland Dr S,Twin Falls,(208) 733-6261,(208) 733-5063,Brian Bolton,Manager,Male,62,56616834,Groceries & Related Products Wholesale,,
35,V S A of Kentucky,Louisville,KY,40223,2701 Stanley Gault Pkwy,Jefferson,(502) 426-0898,(502) 426-8099,Mark Schwinn,President,Male,48,56288263,Grocers Wholesale,,
36,Coca Cola Manufacturing Plant,Okmulgee,OK,74447,1304 W 20th St,Okmulgee,(918) 756-9050,(918) 756-9052, ,,,60,54863449,Groceries & Related Products Wholesale,,
37,Seven-Up Bottling Co,Castroville,CA,95012,11205 Commercial Pkwy,Monterey,(831) 632-0777,(831) 632-0783,Frank Reyes,Executive Officer,Male,50,54379044,Groceries & Related Products Wholesale,,
38,Dixie Riverside Inc,Augusta,GA,30906,2719 Mike Padgett Hwy,Richmond,(706) 793-2723,(706) 796-7687,Edgar Perry,Owner,Male,87,54377573,Importers & Exporters,,
39,Berkshire Food Distributors Inc,Danbury,CT,6810,11 Old Newtown Rd Ste 4,Fairfield,(203) 792-3435,(203) 792-3438,Robert Cicarelli,Executive Officer,Male,35,53179197,Grocers Wholesale,,
40,Buffalo Rock Co,Birmingham,AL,35209,34 W Oxmoor Rd,Jefferson,(205) 940-9799,(205) 942-8239,James Lee,Chief Executive Officer,Male,327,52756659,Retail Stores,,
41,Canteen Service Company,Owensboro,KY,42301,712 Industrial Dr,Daviess,(270) 683-2471,(270) 683-2497,Keith Sharbert,Executive Officer,Male,470,49393353,Automatic Merchandising Machine Operators,,
42,American Food & Vending Corporation,Liverpool,NY,13088,124 Metropolitan Park Dr,Onondaga,(315) 457-9950,(315) 457-0186,Martin Wells,President,Male,800,47091066,Restaurants,,
43,American Food & Vending Corp,Woburn,MA,1801,450 Wildwood Ave,Middlesex,(781) 376-0090,(781) 376-8181,Jim Roselando,Owner,Male,42,46746723,Groceries & Related Products Wholesale,,
44,Perfect Break Systems,Clive,IA,50325,8040 University Blvd,Polk,(515) 274-1555,(515) 274-9256,Todd Wiggins,President,Male,400,46482256,Automatic Merchandising Machine Operators,,
45,Pepsi Co,Lufkin,TX,75904,3500 N John Redditt Dr,Angelina,(936) 634-6341,(936) 634-2239,Brandie Bradshaw,Executive Officer,Female,52,45303439,Groceries & Related Products Wholesale,,
46,Pepsiamericas,Pompano Beach,FL,33069,2121 Nw 15th Ave,Broward,(954) 972-8200,N/A, ,,,42,44665402,Groceries & Related Products Wholesale,,
47,All About Snacks,Pompano Beach,FL,33063,1757 Banks Rd,Broward,(954) 956-8333,N/A, ,,,42,44665402,Groceries & Related Products Wholesale,,
48,Pepsi Beverages,Batesville,MS,38606,180 Corporate Dr,Panola,(662) 563-8622,(662) 563-8056,Zein Abdalla,President,Unknown,55,44483700,Groceries & Related Products Wholesale,,
49,Admiral Beverage Corp,Worland,WY,82401,821 Pulliam Ave,Washakie,(307) 347-5400,(307) 347-3571,Kevin Lempka,Chief Executive Officer,Male,300,43659023,Beverage Stores,,
50,Vistar NY,Budd Lake,NJ,7828,350 Clark Dr Ste W1,Morris,(862) 258-2200,(888) 867-9848,Ken Wineland,President,Male,35,41934999,Groceries & Related Products Wholesale,,
51,Mile High Beverages Inc,Butte,MT,59701,520 Cobban St,Silver Bow,(406) 723-3984,N/A,Chad Godbout,President,Male,42,38761942,Groceries & Related Products Wholesale,,
52,Canteen Vending Service,Middletown,PA,17057,3201 Fulling Mill Rd,Dauphin,(717) 939-1200,(717) 939-8413,David Hurley,General Manager,Male,327,38613625,Automatic Merchandising Machine Operators,,
53,Canteen Vending Service,Roanoke,VA,24012,1231 Rockland Ave Nw,Roanoke City,(540) 362-3361,(540) 362-5926,Steve Waddell,Executive Officer,Male,336,37130594,Automatic Merchandising Machine Operators,,
54,West Dairy Inc,Spring City,PA,19475,2492 Schuylkill Rd,Chester,(610) 495-0100,(610) 495-8620,Jeff West,Chief Executive Officer,Male,44,36393071,Industrial Supplies Wholesale,,
55,Canteen Vending Service,Avenel,NJ,7001,190 Homestead Ave,Middlesex,(732) 602-1329,(732) 602-1190,Mike Danzig,Executive Officer,Male,248,36006237,Automatic Merchandising Machine Operators,,
56,Konop Companies Inc,Green Bay,WI,54302,1725 Industrial Dr,Brown,(920) 468-8517,(920) 469-5088,Tom Konop,Chief Executive Officer,Male,250,35479749,Restaurant Management,,
57,Prestige Services Inc,Clifton Park,NY,12065,4 Enterprise Ave,Saratoga,(518) 877-7426,(518) 877-4782,Christopher Williams,Chief Executive Officer,Male,35,35110763,Groceries & Related Products Wholesale,,
58,Food Express Inc,Greensboro,NC,27409,7901 Thorndike Rd,Guilford,(336) 393-0031,(336) 393-0190,Jeff Whitacre,Chief Executive Officer,Male,220,34590599,Automatic Merchandising Machine Operators,,
59,Service Station Vending Equipment,Floral Park,NY,11001,10 Terrace Ave,Nassau,(516) 437-5116,N/A,Bill McCabe,Owner,Male,33,34400319,Gas Stations,,
60,Docent Electronics,Dayton,OH,45403,1616 Darst Ave,Montgomery,(937) 253-2768,N/A,Eric Spain,Owner,Male,32,34152411,Electronic Parts & Equipment Wholesale,,
61,Centerplate,Syracuse,NY,13208,1 Tex Simone Dr,Onondaga,(315) 479-9223,(315) 479-5217,Tracy Durkin,Manager,Unknown,90,33262555,Amusement & Recreation Services,,
62,Dr Pepper/7Up Bottling,Omaha,NE,68138,13232 Centech Rd,Sarpy,(402) 498-0440,(402) 498-0787,Reta Johnson,Executive Officer,Female,33,31422291,Groceries & Related Products Wholesale,,
63,Pepsi-Cola Bottling Co,Laredo,TX,78041,4700 Santa Maria Ave,Webb,(956) 722-9934,(956) 725-2718,Aurora Garcia,Executive Officer,Female,35,31173704,Groceries & Related Products Wholesale,,
64,Pepsi Cola of Brainerd-Wadena,Brainerd,MN,56401,2024 Se 13th St,Crow Wing,(218) 829-4196,(218) 829-4506,Shanda Bauges,Executive Officer,Female,35,29981946,Groceries & Related Products Wholesale,,
65,Pepsi-Cola Co,Newburgh,NY,12550,1 Pepsi Way,Orange,(845) 562-5400,(845) 562-7840,Joe McDonald,Executive Officer,Male,330,29457005,Misc Food Stores,,
66,A.H. Management Group,Rolling Meadows,IL,60008,1151 Rohlwing Rd,Cook,(847) 253-2070,(847) 394-4285,Craig Hesch,Chief Financial Officer,Male,280,29287202,Restaurant Management,,
67,Answer Vending Inc,Farmingdale,NY,11735,118 Allen Blvd,Suffolk,(718) 831-1305,(718) 831-1354,Tom Murn,Owner,Male,200,29037288,Automatic Merchandising Machine Operators,,
68,Buffalo Rock Co,Columbus,GA,31906,4356 Allied Dr,Muscogee,(706) 687-1240,(706) 687-8450,Matthew Dent,Chief Operating Officer,Male,180,28795338,Retail Stores,,
69,Pepsi Cola,Logan,UT,84321,710 W 200 S,Cache,(435) 752-7524,(435) 752-7859,Kent Souter,Executive Officer,Male,31,28154481,Groceries & Related Products Wholesale,,
70,Betson Enterprises,Carlstadt,NJ,7072,303 Paterson Plank Rd,Bergen,(201) 438-1300,N/A,Richard Kirby,Executive Officer,Male,11,27875796,Automatic Merchandising Machine Operators,,
71,Imperial Food & Vending Service,Portland,OR,97217,5001 N Lagoon Ave,Multnomah,(503) 285-2402,N/A,Lynne Berschueren,Manager,Female,220,27205112,Automatic Merchandising Machine Operators,,
72,American Vending & Coffee Service,Randolph,NJ,7869,1222 Sussex Tpke,Morris,(973) 895-2900,(973) 895-2032,Warner Drew,Owner,Male,15,26997229,Chemicals & Allied Products Wholesale,,
73,Ellsworth Systems,Franklin,TN,37067,305 Seaboard Ln Ste 308,Williamson,(615) 778-9100,(615) 778-9300,Jeff Walker,Executive Officer,Male,24,26546668,Security Control Equipment & Systems Wholesale,,
74,Variety Food Services,Warren,MI,48089,25235 Hoover Rd,Macomb,(586) 756-8100,(586) 754-8090,John Nowak,President,Male,220,26324390,Automatic Merchandising Machine Operators,,
75,Canteen,Columbia,SC,29203,120 N Montague Dr,Richland,(803) 786-2251,(803) 786-2254,Lance Roper,Manager,Male,55,25682005,Food Preparations,,
76,Roddy Classic Coffee Service,Knoxville,TN,37909,5901 Casey Dr,Knox,(865) 558-3401,(865) 558-3402,Millie Mauk,Executive Officer,Female,55,25247144,Food Preparations,,
77,Dirty Potato Chips,Gramercy,LA,70052,307 E Airline Hwy,Saint James,(225) 869-8888,(225) 869-9779,Ron Zappe,Owner,Male,110,24564788,Food Markets,,
78,Quick Snack Vending,Freeport,NY,11520,27 Saint Johns Pl,Nassau,(516) 933-4444,(516) 933-0117,Isaac Yamali,President,Male,164,23810576,Automatic Merchandising Machine Operators,,
79,American Health Care Capital,Marina Del Rey,CA,90292,4333 Admiralty Way,Los Angeles,(310) 437-4422,N/A,Jack Eskenavi,Owner,Male,53,23419038,Health Care Products Stores,,
80,L C Vending Inc,San Antonio,TX,78210,310 E Mitchell St,Bexar,(210) 532-3151,(210) 532-9881,Ladd Little,President,Male,35,23098353,Durable Goods Wholesale,,
81,Wichita Vending Co,Wichita,KS,67215,4430 W 29th Cir S,Sedgwick,(316) 269-2447,(316) 269-4300,Joe Hemmelgarn,Owner,Male,200,22219432,Automatic Merchandising Machine Operators,,
82,Rawls Distributing Co,Savannah,GA,31415,560 Telfair Rd,Chatham,(912) 233-5200,N/A,Robin Rawls,President,Unknown,23,22056550,Groceries & Related Products Wholesale,,
83,Menda,Santa Barbara,CA,93101,324 Palm Ave,Santa Barbara,(805) 568-0622,(805) 568-0501,Andrea Rifkin,President,Unknown,29,22017700,Importers & Exporters,,
84,Konop Companies,Green Bay,WI,54302,1725 Industrial Dr,Brown,(920) 468-8517,(920) 469-5084,Tom Konop,President,Male,132,21847300,Retail Stores,,
85,Hmi Vending,Phoenix,AZ,85031,4714 N 43rd Ave,Maricopa,(602) 258-2129,(602) 307-0041,Lynne Shutte,Chief Marketing Officer,Female,176,21305898,Automatic Merchandising Machine Operators,,
86,Advanced Spine Center,Union,NJ,7083,1945 Morris Ave,Union,(908) 688-0110,N/A, ,,,23,20957568,Industrial Supplies Wholesale,,
87,Value Accessories,Madison,OH,44057,4656 Turney Rd,Lake,(440) 259-4793,N/A,Richard Wiles,President,Male,24,20691194,Internet Retailers,,
88,United Distributors Inc,Wichita,KS,67213,420 S Seneca St,Sedgwick,(316) 263-6181,(316) 263-4731,Mark Blum,President,Male,15,20658372,Chemicals & Allied Products Wholesale,,
89,Laughlin Vending Inc,Athens,OH,45701,148 W Union St,Athens,(740) 593-7778,(740) 593-7770,Dewey Laughlin,President,Unknown,29,20233388,"Electrical Apparatus & Equipment, Wiring Supplies, & Construction Wholesale",,
90,Buffalo Rock Co,Tuscaloosa,AL,35405,401 65th St,Tuscaloosa,(205) 345-6001,(205) 391-9781,James Lee,Chief Executive Officer,Male,125,19592925,Retail Stores,,
91,IMI MCR Inc,Monmouth,IL,61462,1301 N Main St Ste 1,Warren,(309) 734-6282,(309) 734-6174,Shawn Bivens,Manager,Male,195,19453730,Automatic Merchandising Machine Operators,,
92,Pepsi-Cola Co,Del Rio,TX,78840,131 Foster Dr,Val Verde,(830) 775-1543,(830) 775-2566,Ed Sewell,Manager,Male,22,19166840,Groceries & Related Products Wholesale,,
93,Pepsico,Mc Kees Rocks,PA,15136,400 Graham St,Allegheny,(412) 331-6775,N/A,Curtis Cutts,Manager,Male,20,19019491,Groceries & Related Products Wholesale,,
94,American Food & Vending Corp,Binghamton,NY,13904,137 Corporate Dr,Broome,(607) 723-6225,(607) 723-3972,Jim Degennaro,Manager,Male,109,18764650,Retail Stores,,
95,Ace Automatics Inc,Seneca Falls,NY,13148,1771 Us Route 20,Seneca,(315) 568-8303,(315) 781-1660,Tom Hilimire,Owner,Male,39,18736075,Food Preparations,,
96,Northwestern Corp,Morris,IL,60450,922 Armstrong St,Grundy,(815) 942-2885,(815) 942-4417,Angie Stropel,Chief Financial Officer,Female,25,18692095,Importers & Exporters,,
97,Canteen,Lancaster,PA,17601,1828 William Penn Way Ste 102,Lancaster,(717) 291-9966,(717) 392-5941, ,,,153,18502816,Automatic Merchandising Machine Operators,,
98,Vendair Vending,Evansville,IN,47711,810 N Fares Ave,Vanderburgh,(812) 425-2621,(812) 426-6873,Stan Fishburn,President,Male,164,18219934,Automatic Merchandising Machine Operators,,
99,Lieberman Co Inc,Minneapolis,MN,55431,9549 Penn Ave S Ste 100,Hennepin,(952) 887-5299,(952) 887-5656,Dan Lieberman,Executive Officer,Male,25,18065446,Importers & Exporters,,
100,Premium Food & Beverage Co,Sioux Falls,SD,57105,2301 S Spring Ave,Minnehaha,(605) 336-6245,(605) 332-2612,Mark Martin,Manager,Male,19,17760443,Groceries & Related Products Wholesale,,
101,Pepsi-Cola Co Hilo,Keaau,HI,96749,16-204 Melekahiwa Pl Ste 2,Hawaii,(808) 966-4222,(808) 966-4224,Marty Ciez,Manager,Male,17,17036571,Groceries & Related Products Wholesale,,
102,Cater Time Vending & Distributing Co,Kansas City,MO,64119,430 Ne Dickinson Ln,Clay,(816) 454-7700,(816) 454-1777,James Haug,Owner,Male,18,17015391,Groceries & Related Products Wholesale,,
103,Sky Top Vending,Las Vegas,NV,89102,1509 Western Ave,Clark,(702) 387-8789,(702) 387-1244,Russ Kashka,Chief Executive Officer,Male,44,16946810,Amusement & Recreation Services,,
104,Ken's Beverage Inc,Plainfield,IL,60585,10015 S Mandel St,Will,(630) 904-1555,(630) 904-1559,Ken Reimer,Chief Executive Officer,Male,225,16939960,Major Appliance Service & Repair,,
105,Canteen,Wilson,NC,27893,2102 Industrial Park Dr Se,Wilson,(252) 291-7733,(252) 442-1026,Willie Sutton,Office Manager,Male,165,16880272,Automatic Merchandising Machine Operators,,
106,Complete Food Service,Mira Loma,CA,91752,3815 Wabash Dr,Riverside,(951) 685-8490,(951) 681-7821,Keith Kahn,Chief Executive Officer,Male,88,16876015,Retail Stores,,
107,Pepsi-Cola Bottling Co,Hickory,NC,28601,2401 14th Avenue Cir Nw,Catawba,(828) 650-7800,(828) 274-0889, ,,,154,16598360,Automatic Merchandising Machine Operators,,
108,Central Music & Vending of Yakima,Yakima,WA,98901,1001 S 1st St,Yakima,(509) 248-1212,(509) 248-2257,Mike Owens,Manager,Male,17,16397420,Groceries & Related Products Wholesale,,
109,Betson Vending Service,Carlstadt,NJ,7072,303 Paterson Plank Rd,Bergen,(201) 438-1300,(201) 438-4837,Robert Geschine,President,Male,109,15825322,Automatic Merchandising Machine Operators,,
110,Pepsi Bottling Ventures,Conway,SC,29526,2380 Highway 501 W,Horry,(843) 365-2121,(843) 365-2123,Mark Johnson,Executive Officer,Male,140,15696296,Automatic Merchandising Machine Operators,,
111,Seaga Manufacturing Inc,Freeport,IL,61032,700 Seaga Dr,Stephenson,(815) 297-9500,(815) 297-1700,Steven Chesney,Chief Executive Officer,Male,102,15611728,Manufacturing Industries,,
112,Dartoo Inc,Brea,CA,92821,555 W Lambert Rd Ste K,Orange,(714) 835-7673,N/A, ,,,19,15389936,Importers & Exporters,,
113,Compass Group,Winston Salem,NC,27107,3195 Centre Park Blvd,Forsyth,(336) 697-0195,(336) 697-3870,Charles Lynch,Executive Officer,Male,93,15066642,Retail Stores,,
114,Pepsi-Cola Distributing Co of Knoxville,Knoxville,TN,37921,3501 Middlebrook Pike,Knox,(865) 523-9145,(865) 637-5213,Kristie Murray,Manager,Female,136,15029050,Automatic Merchandising Machine Operators,,
115,Sunrise Vending,Corpus Christi,TX,78416,1401 S Padre Island Dr,Nueces,(361) 853-0123,(361) 853-5327,Vicky Ramos,Chief Technology Officer Chief,Female,132,15026299,Automatic Merchandising Machine Operators,,
116,Beltway Vending,Springfield,VA,22153,7608h Fullerton Rd,Fairfax,(703) 455-2657,N/A,Joseph Ginwich,Owner,Male,103,14739181,Automatic Merchandising Machine Operators,,
117,Asia Specialty Ingredients Inc,Arcadia,CA,91006,25 E Huntington Dr,Los Angeles,(626) 821-8777,N/A,Mike Soo,Manager,Male,25,14670476,Food Preparations,,
118,Fischer Thompson Beverages Inc,Flanders,NJ,7836,25 Ironia Rd,Morris,(973) 927-7474,(973) 927-7477,Robert Thompson,Owner,Male,44,14623159,Liquor Stores,,
119,Scobee Foods,Dallas,TX,75215,1812 Corinth St,Dallas,(214) 421-0898,(214) 426-2921,Stephen Scobee,President,Male,28,14395634,Food Preparations,,
120,Canteen,Maryland Heights,MO,63043,2331 Millpark Dr,Saint Louis,(314) 423-6210,(314) 423-2384,Kendall Jackson,President,Unknown,132,14348738,Automatic Merchandising Machine Operators,,
121,A & A Vending Services,Augusta,GA,30906,2719 Mike Padgett Hwy,Richmond,(706) 793-2723,(706) 796-7687,Ed Perry,President,Male,88,14178344,Retail Stores,,
122,Pepsi-Cola Co of Vernal,Vernal,UT,84078,2199 W Highway 40,Uintah,(435) 781-2652,(435) 781-2346,Steven Hansen,Manager,Male,15,14056365,Groceries & Related Products Wholesale,,
123,Blue Bell Creameries,Houston,TX,77092,2211 Karbach St,Harris,(713) 686-3468,(713) 686-2334,Steve James,Executive Officer,Male,109,13465511,Automatic Merchandising Machine Operators,,
124,Golden Age Services Inc,Houston,TX,77008,2355 Minimax St,Harris,(713) 426-1000,(713) 426-1475,Mark Noel,Owner,Male,19,13458167,Durable Goods Wholesale,,
125,Corporate Service Group,Tampa,FL,33619,9501 Palm River Rd,Hillsborough,(813) 664-1322,(813) 664-1940,Brad Bartholomew,President,Male,110,13440460,Automatic Merchandising Machine Operators,,
126,Shady Grove Pharmacy,Rockville,MD,20850,15225 Shady Grove Rd Ste 101,Montgomery,(240) 386-8983,N/A, ,,,30,13427752,Pharmacies,,
127,Sunstate Vending Equipment,Apopka,FL,32703,2158 S Orange Blossom Trl Ste 103,Orange,(407) 886-8363,N/A,Fred Bentley,Owner,Male,21,13270221,Industrial Machinery & Equipment Wholesale,,
128,Silco Vending,Fresno,CA,93722,4912 W Jacquelyn Ave,Fresno,(800) 244-7872,(559) 277-8990,Mark Pogue,Owner,Male,110,13204070,Automatic Merchandising Machine Operators,,
129,Tanque Verde Enterprises,Tucson,AZ,85710,602 S Pantano Rd Unit A,Pima,(520) 721-0063,(520) 721-0616,Linda Fiore,President,Female,110,13133828,Automatic Merchandising Machine Operators,,
130,Canteen,Albuquerque,NM,87109,4809 Hawkins St Ne,Bernalillo,(505) 344-3481,(505) 344-4192,Kevin Callesen,President,Male,110,13104111,Automatic Merchandising Machine Operators,,
131,Valley Vending Co,Charleroi,PA,15022,95 Chamber Plz,Washington,(724) 483-1515,(724) 483-3370, ,,,112,12906378,Automatic Merchandising Machine Operators,,
132,Canteen Refreshment Services,Coral Springs,FL,33065,3651 Nw 120th Ave,Broward,(954) 741-5020,(954) 741-0811,John Brusser,Manager,Male,100,12886632,Automatic Merchandising Machine Operators,,
133,A H Hermel Candy & Tobacco Co,Forest City,IA,50436,739 Highway 69 N,Winnebago,(641) 585-2696,(641) 585-2902,Jim Olson,Manager,Male,15,12747559,Groceries & Related Products Wholesale,,
134,TS Vending Co,Sioux Falls,SD,57104,2400 E 52nd St N,Minnehaha,(605) 338-5471,(605) 336-0024,Paul Wipf,Executive Officer,Male,111,12573050,Automatic Merchandising Machine Operators,,
135,Crickler Vending Company,Rochester,NY,14623,900 Jefferson Rd Ste 504,Monroe,(585) 475-1540,N/A, ,,,105,12522653,Automatic Merchandising Machine Operators,,
136,A & E Custom Manufacturing Technologies Inc,Kansas City,KS,66115,3150 Chrysler Rd,Wyandotte,(913) 371-1040,(913) 371-1264,Steve Hasty,Owner,Male,60,12514445,Fabricated Metal Products Mfg,,
137,Golden Valley Wholesale & Vending,Tulare,CA,93274,1101 Security Ct,Tulare,(559) 686-4892,N/A,Scott Wilbourn,Manager,Male,10,12365748,Grocers Wholesale,,
138,Watsonville Pawn,Watsonville,CA,95076,456 Main St,Santa Cruz,(831) 768-7296,N/A,Bruce Pederson,Owner,Male,13,12216195,Personal Financing & Loans,,
139,JCM Global,Las Vegas,NV,89119,925 Pilot Rd,Clark,(702) 651-0000,(702) 644-5512,Akiyoshi Isoi,Chief Executive Officer,Male,95,12180532,Automatic Merchandising Machine Operators,,
140,Ad Bos Vending Service,Holland,MI,49424,308 Garden Ave,Ottawa,(616) 392-2729,(616) 392-9882,Thomas Bos,Chief Executive Officer,Male,72,12144092,Retail Stores,,
141,Accent Food,Baltimore,MD,21230,1408 Desoto Rd,Baltimore City,(410) 247-8255,(410) 247-6369,Dave Mandella,Executive Officer,Male,75,12135805,Business Services,,
142,Crane National Vendors,Bridgeton,MO,63044,12955 Enterprise Way,Saint Louis,(314) 298-0055,(314) 298-3534,Brad Ellis,President,Male,110,11957282,Automatic Merchandising Machine Operators,,
143,Refreshment Services Pepsi,Tallahassee,FL,32304,3919 W Pensacola St,Leon,(850) 574-0281,(850) 574-0576,Al Hudgins,General Manager,Male,100,11634072,Automatic Merchandising Machine Operators,,
144,Arnold Vending Co,Tiffin,OH,44883,646 Miami St,Seneca,(419) 448-4545,(419) 448-8612,John Arnold,Manager,Male,116,11632304,Automatic Merchandising Machine Operators,,
145,Canteen,Alsip,IL,60803,3800 W 127th St,Cook,(708) 489-2300,(708) 489-2977,Bob Kranig,Office Manager,Male,60,11564091,Retail Stores,,
146,Avi Foodsystem Inc,Pittsburgh,PA,15225,2700 Neville Rd,Allegheny,(412) 331-5080,(412) 331-6783,Michelle Longstreth,Executive Officer,Female,100,11523552,Automatic Merchandising Machine Operators,,
