Business Name,Physical Address,Physical Address Number,Physical Address Name,Physical Address Suffix,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Primary SIC,Primary SIC Description,NAICS 1,NAICS 1 Description,Non-Profit,Number of PCs,Public / Private,Square Footage,Website,Women Owned,Year Established,Fortune 1000 Ranking,Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,Home Based Business,Holding Parent Name,Franchise Type
Daily Record,212 E Liberty St,212,Liberty,St,Wooster,OH,44691,4394,Betsy Huth,Betsy,Huth,Controller,Female,102,,"$15,409,242 ",(330) 264-1125,(330) 264-3756,(800) 686-2958,Wayne,"25,000 to 49,999","Wooster, OH",40.798804,-81.938231,Lithographic Commercial Printing,2752001,Lithographic Commercial Printing,323111,Commercial Printing (except Screen and Books),No,100 to 499,Private,"50,000 or more",www.dixcom.com,No,1898,,100,15409242,17675307,18430662,-12.82,-4.1,No,,
Times Reporter,629 Wabash Ave Nw,629,Wabash,Ave,New Philadelphia,OH,44663,4145,Kevin Ackerman,Kevin,Ackerman,Executive Officer,Male,90,"4,131","$13,596,390 ",(330) 364-5577,(330) 364-8449,N/A,Tuscarawas,"Up to 24,999","New Philadelphia-Dover, OH",40.505363,-81.458145,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,100 to 499,Public,"10,000 to 49,999",www.timesreporter.com,No,1903,,100,13596390,14502816,15560313,-6.25,-6.8,No,,
Alliance Publishing Co Inc,40 S Linden Ave,40,Linden,Ave,Alliance,OH,44601,2447,Chuck Dix,Chuck,Dix,President,Male,83,,"$13,533,897 ",(330) 829-2142,(330) 821-8258,N/A,Stark,"Up to 24,999","Canton-Massillon, OH",40.921171,-81.099829,Lithographic Commercial Printing,2752001,Lithographic Commercial Printing,323111,Commercial Printing (except Screen and Books),No,100 to 499,Private,"10,000 to 49,999",www.the-press-news.com,No,1888,,100,13533897,14675310,12881661,-7.78,13.92,No,,
Holmes County Hub,25 N Clay St,25,Clay,St,Millersburg,OH,44654,1117,Lance White,Lance,White,Manager,Male,100,,"$10,697,460 ",(330) 674-1811,(330) 674-3780,N/A,Holmes,"Up to 24,999",,40.554692,-81.916986,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"50,000 or more",www.the-daily-record.com,No,1828,,100,10697460,11553257,13157876,-7.41,-12.2,No,,
Herald Star Newspaper,401 Herald Sq,401,Herald,Sq,Steubenville,OH,43952,2090,Ross Gallabrese,Ross,Gallabrese,Executive Officer,Male,88,218,"$9,880,649 ",(740) 283-4711,(740) 282-4261,N/A,Jefferson,"Up to 24,999","Weirton-Steubenville, WV-OH",40.36544363,-80.61595943,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"10,000 to 49,999",www.heraldstaronline.com,No,1806,,96,9880649,9431528,9431528,4.76,0,No,,
Chagrin Herald Sun,5510 Cloverleaf Pkwy,5510,Cloverleaf,Pkwy,Cleveland,OH,44125,4815, ,,,,,83,"33,000","$9,597,597 ",(216) 986-2400,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.411353,-81.634454,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,100 to 499,Private,"10,000 to 49,999",,No,,,96,9597597,10060132,11447736,-4.6,-12.12,No,,
News Journal,70 W 4th St,70,4th,St,Mansfield,OH,44903,1676,Ken Shelby,Ken,Shelby,Chief Technology Officer Chief,Male,55,,"$8,787,130 ",(419) 522-3311,(419) 521-7414,N/A,Richland,"25,000 to 49,999","Mansfield, OH",40.76122806,-82.51802739,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,25 to 99,Private,"10,000 to 49,999",www.mansfieldnewsjournal.com,No,1930,,100,8787130,7509002,7988300,17.02,-6,No,,
Bargain Hunter,7368 County Road 623,7368,County Roa,,Millersburg,OH,44654,9256,Michael Mast,Michael,Mast,Owner,Male,77,,"$8,237,044 ",(330) 674-2300,(330) 674-2461,(888) 674-1010,Holmes,"Up to 24,999",,40.55691,-81.889765,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.holmesbargainhunter.com,No,1996,,96,8237044,7595197,6846374,8.45,10.94,No,,
PM Graphics Inc,10170 Philipp Pkwy,10170,Philipp,Pkwy,Streetsboro,OH,44241,4705,Bob Ceese,Bob,Ceese,Executive Officer,Male,50,,"$8,094,675 ",(330) 650-0861,(330) 656-2225,N/A,Portage,"Up to 24,999","Akron, OH",41.266342,-81.3724195,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,25 to 99,Private,"10,000 to 49,999",www.pmgraphics.com,No,1959,,100,8094675,7932782,8742249,2.04,-9.26,No,,
Record Publishing,1050 W Main St,1050,Main,St,Kent,OH,44240,2006,Harry Newman,Harry,Newman,Chief Marketing Officer,Male,66,,"$7,566,115 ",(330) 541-9400,(330) 688-1588,(800) 966-6565,Portage,"25,000 to 49,999","Akron, OH",41.150713,-81.379313,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.record-courier.com,No,,,100,7566115,6878286,6190457,10,11.11,No,,
Graphic Publications Inc,7368 County Road 623,7368,County Roa,,Millersburg,OH,44654,9256,Michael Mast,Michael,Mast,President,Male,66,,"$7,060,324 ",(330) 343-4377,N/A,N/A,Holmes,"Up to 24,999",,40.55691,-81.889765,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",,No,1973,,96,7060324,7702171,8878892,-8.33,-13.25,No,,
Truax Printing Inc,425 E Haskell St,425,Haskell,St,Loudonville,OH,44842,1312,Thomas Truax,Thomas,Truax,Executive Officer,Male,50,,"$6,986,013 ",(419) 994-4166,(419) 994-4617,(800) 842-6859,Ashland,"Up to 24,999","Ashland, OH",40.639295,-82.227821,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,25 to 99,Private,"10,000 to 49,999",www.truaxprinting.com,No,1966,,100,6986013,6846293,7265454,2.04,-5.77,No,,
Chagrin Valley Times Newspaper,525 Washington St,525,Washington,St,Chagrin Falls,OH,44022,4455,Kenneth Douthit,Kenneth,Douthit,Executive Officer,Male,33,,"$6,839,513 ",(440) 247-5335,(440) 247-5615,N/A,Geauga,"Up to 24,999","Cleveland-Elyria, OH",41.426609,-81.37249,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,25 to 99,Private,"10,000 to 49,999",www.chagrinvalleytimes.com,No,1971,,95,6839513,7046771,7046771,-2.94,0,No,,
Independent,729 Lincoln Way E,729,Lincoln,Way,Massillon,OH,44646,6829,Elaine Ewing,Elaine,Ewing,Chief Marketing Officer,Female,44,,"$6,635,532 ",(330) 833-2631,(330) 833-2635,N/A,Stark,"25,000 to 49,999","Canton-Massillon, OH",40.799003,-81.513952,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,25 to 99,Private,"5,000 to 9,999",www.indeonline.com,No,1863,,95,6635532,6786339,7389569,-2.22,-8.16,No,,
Sun newspaper,3355 Richmond Rd Ste 171,3355,Richmond,Rd,Beachwood,OH,44122,4180,Thomas Dunbabin,Thomas,Dunbabin,Owner,Male,55,"33,000","$6,359,853 ",(216) 986-2400,(216) 464-8816,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.46692,-81.497041,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",,No,,,100,6359853,5781685,5550418,10,4.17,No,,
Ashland Publishing Co,40 E 2nd St,40,2nd,St,Ashland,OH,44805,2304,Lynette Cross,Lynette,Cross,Executive Officer,Female,42,,"$6,344,982 ",(419) 281-0581,(419) 281-5591,N/A,Ashland,"Up to 24,999","Ashland, OH",40.869351,-82.314665,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,25 to 99,Private,"10,000 to 49,999",www.times-gazette.com,No,1850,,95,6344982,6344982,6496053,0,-2.33,No,,
Trogdon Publishing Inc,5164 Normandy Park Dr Ste 100,5164,Normandy P,Dr,Medina,OH,44256,5903,Bruce Trogdon,Bruce,Trogdon,Owner,Male,30,,"$6,217,739 ",(330) 721-7678,(330) 722-9875,(888) 721-7678,Medina,"25,000 to 49,999","Cleveland-Elyria, OH",41.1348776,-81.8009645,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,25 to 99,Private,"10,000 to 49,999",www.thepostnewspapers.com,No,1975,,95,6217739,5595965,6217739,11.11,-10,No,,
Wooster Weekly News,7368 County Road 623,7368,County Roa,,Millersburg,OH,44654,9256,Mike Dewey,Mike,Dewey,Manager,Male,55,,"$5,883,603 ",(330) 674-2300,N/A,N/A,Holmes,"Up to 24,999",,40.55691,-81.889765,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.woosterweeklynews.com,No,,,96,5883603,4920832,4599908,19.57,6.98,No,,
Review,40 S Linden Ave,40,Linden,Ave,Alliance,OH,44601,2447,Charles Dix,Charles,Dix,Manager,Male,50,,"$5,773,170 ",(330) 821-1200,(330) 821-8258,N/A,Stark,"Up to 24,999","Canton-Massillon, OH",40.921171,-81.099829,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.the-review.com,No,1888,,96,5773170,6119560,6696877,-5.66,-8.62,No,,
Gazette Newspapers,46 W Jefferson St,46,Jefferson,St,Jefferson,OH,44047,1028,William Creed,William,Creed,President,Male,30,211,"$5,752,130 ",(440) 576-9115,(440) 576-2778,N/A,Ashtabula,"Up to 24,999","Ashtabula, OH",41.7377194,-80.7718572,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,25 to 99,Private,"10,000 to 49,999",www.gazettenewspapers.com,No,1906,,95,5752130,5368655,4409967,7.14,21.74,No,,
Wooster Weekly News,127 E Liberty St Ste 365,127,Liberty,St,Wooster,OH,44691,4396,Michael Mast,Michael,Mast,Owner,Male,50,,"$5,348,730 ",(330) 264-3381,N/A,N/A,Wayne,"25,000 to 49,999","Wooster, OH",40.797939,-81.939136,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.woosterweeklynews.com,No,2012,,88,5348730,5134781,5669654,4.17,-9.43,No,,
Star Beacon,4626 Park Ave,4626,Park,Ave,Ashtabula,OH,44004,6950,Jamie Beacom,Jamie,Beacom,President,Unknown,47,"4,512","$5,027,806 ",(440) 998-2323,(440) 998-7938,(800) 554-6768,Ashtabula,"Up to 24,999","Ashtabula, OH",41.86528,-80.783493,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.starbeacon.com,No,1926,,91,5027806,5241755,5348730,-4.08,-2,No,,
Cleveland East Edition - Women's Journal,1663 Saint Charles Ave,1663,Saint Char,Ave,Lakewood,OH,44107,4312, ,,,,,43,,"$4,972,249 ",(216) 228-1379,N/A,N/A,Cuyahoga,"50,000 to 99,999","Cleveland-Elyria, OH",41.477994,-81.797946,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",,No,,,80,4972249,4625348,4278447,7.5,8.11,No,,
Vindicator,245 W Boardman St,245,Boardman,St,Youngstown,OH,44503,, ,,,,,43,,"$4,915,356 ",(330) 747-1475,N/A,N/A,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.10072993,-80.65394178,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",,No,,,80,4915356,4343803,4572424,13.16,-5,No,,
Daily Legal News,2935 Prospect Ave E,2935,Prospect,Ave,Cleveland,OH,44115,2688,Jeffrey Karlovec,Jeffrey,Karlovec,President,Male,30,,"$4,898,985 ",(216) 696-3322,(216) 696-6321,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.501643,-81.667569,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,25 to 99,Private,"10,000 to 49,999",www.dln.com,No,1885,,95,4898985,4735686,5388884,3.45,-12.12,No,,
Cleveland Jewish News,23880 Commerce Park Ste 1,23880,Commerce,Park,Beachwood,OH,44122,5294,Kevin Adelstein,Kevin,Adelstein,Chief Executive Officer,Male,31,,"$4,681,929 ",(216) 454-8300,(216) 454-8100,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.461535,-81.506537,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,25 to 99,Private,"5,000 to 9,999",www.cjn.org,No,1964,,95,4681929,4077809,3624719,14.81,12.5,No,,
Crains Cleveland Business,700 W Saint Clair Ave Ste 310,700,Saint Clai,Ave,Cleveland,OH,44113,1256,Craig Mackey,Craig,Mackey,Office Manager,Male,28,"1,101","$4,656,419 ",(216) 522-1383,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.49968,-81.699224,Manufacturing Industries,3999001,Manufacturing Industries,339999,All Other Miscellaneous Manufacturing,No,25 to 99,Private,"10,000 to 49,999",www.crainscleveland.com,No,1980,,95,4656419,3824916,3824916,21.74,0,No,,
Daily Kent Stater,205 Franklin Hall,205,Franklin H,,Kent,OH,44240,,Madeline Winer,Madeline,Winer,Chief Financial Officer,Female,40,,"$4,585,524 ",(330) 672-2584,(330) 672-4880,N/A,Portage,"25,000 to 49,999","Akron, OH",41.14742,-81.35134,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.kentwired.com,No,1926,,91,4585524,4241610,4814800,8.11,-11.9,No,,
Clyde Enterprise,26777 Lorain Rd,26777,Lorain,Rd,North Olmsted,OH,44070,3200,Rick Miller,Rick,Miller,Manager,Male,22,,"$4,559,675 ",(419) 547-9194,N/A,N/A,Cuyahoga,"25,000 to 49,999","Cleveland-Elyria, OH",41.417703,-81.918077,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,25 to 99,Private,"10,000 to 49,999",,No,1876,,95,4559675,5388707,4559675,-15.38,18.18,No,,
Construction Journal,,,,,Cleveland,OH,44130,,Ted Blaicher,Ted,Blaicher,Executive Officer,Male,22,,"$4,559,675 ",(440) 826-4700,(440) 826-0047,(800) 880-2309,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.37618,-81.77877,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,25 to 99,Private,"10,000 to 49,999",www.constructionjournal.com,No,1991,,95,4559675,3937901,4974191,15.79,-20.83,No,,
Daily Legal News,100 E Federal St Ste 126,100,Federal,St,Youngstown,OH,44503,1834,Kimberly Durgala,Kimberly,Durgala,General Manager,Female,22,,"$4,507,503 ",(330) 747-7777,(330) 747-3977,N/A,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.0995541,-80.6475068,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,25 to 99,Private,"10,000 to 49,999",www.dlnnews.com,No,1925,,95,4507503,4507503,5122162,0,-12,No,,
City Printing Co Inc,122 Oak Hill Ave,122,Oak Hill,Ave,Youngstown,OH,44502,1428,Joseph Valentini,Joseph,Valentini,President,Male,22,,"$3,551,482 ",(330) 747-5691,(330) 747-6907,N/A,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.100174,-80.658226,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,25 to 99,Private,"10,000 to 49,999",www.cityprinting.com,No,1920,,95,3551482,3712913,3390051,-4.35,9.52,No,,
Morning Journal,2500 W Erie Ave,2500,Erie,Ave,Lorain,OH,44053,1056,Cindy Knudsen,Cindy,Knudsen,Controller,Female,30,,"$3,469,011 ",(440) 245-6901,(216) 245-5637,(888) 757-0727,Lorain,"50,000 to 99,999","Cleveland-Elyria, OH",41.458498,-82.203744,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.morningjournal.com,No,1921,,91,3469011,2890843,3006476,20,-3.85,No,,
Scriptyte,4300 W Streetsboro Rd,4300,Streetsbor,Rd,Richfield,OH,44286,9796,Sue Serdinak,Sue,Serdinak,Owner,Female,30,,"$3,439,143 ",(330) 659-0303,(330) 659-9488,N/A,Summit,"Up to 24,999","Akron, OH",41.239561,-81.643218,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.scriptype.com,Yes,1980,,95,3439143,3095229,2865953,11.11,8,No,,
Portage County Legal News,60 S Summit St,60,Summit,St,Akron,OH,44308,1775,Robert Heffern,Robert,Heffern,President,Male,16,,"$3,287,576 ",(330) 296-7578,(330) 376-7001,N/A,Summit,"100,000 to 249,999","Akron, OH",41.082488,-81.514428,Misc Publishers,2741001,Misc Publishers,511199,All Other Publishers,No,10 to 24,Private,"5,000 to 9,999",www.akronlegalnews.com,No,1980,,93,3287576,2260208,3082102,45.45,-26.67,No,,
Cleveland Scene LLC,737 Bolivar Rd Ste 2000,737,Bolivar,Rd,Cleveland,OH,44115,1235,Andrew Zelman,Andrew,Zelman,Owner,Male,25,,"$2,890,843 ",(216) 241-7550,(216) 241-6275,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.497707,-81.686061,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.clevescene.com,No,1998,,91,2890843,2775209,2890843,4.17,-4,No,,
Review,210 E 4th St,210,4th,St,East Liverpool,OH,43920,3144,Lisa Ludovici,Lisa,Ludovici,Executive Officer,Female,20,218,"$2,794,405 ",(330) 385-4545,(330) 385-7114,N/A,Columbiana,"Up to 24,999","Salem, OH",40.617507,-80.578519,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,25 to 99,Private,"1,000 to 4,999",www.reviewonline.com,No,1879,,95,2794405,2235524,2235524,25,0,No,,
Wooster Daily Record,1466 Enterprise Pkwy,1466,Enterprise,Pkwy,Wooster,OH,44691,7963,Brian Zerrer,Brian,Zerrer,Manager,Male,18,,"$2,719,278 ",(330) 264-8858,N/A,N/A,Wayne,"25,000 to 49,999","Wooster, OH",40.8150782,-81.9103446,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,10 to 24,Private,"5,000 to 9,999",www.the-daily-record.com,No,2002,,93,2719278,2114994,2266065,28.57,-6.67,No,,
Fish & Field Report,81 Pineview Dr,81,Pineview,Dr,Youngstown,OH,44515,1032,Judi Henninger,Judi,Henninger,Partner,Female,18,,"$2,687,433 ",(330) 544-8951,(330) 544-2004,N/A,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.133118,-80.78373,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,25 to 99,Private,"1,000 to 4,999",www.fishnfieldreport.com,No,1982,,93,2687433,2687433,2836735,0,-5.26,No,,
Reflector Herald Inc,61 E Monroe St,61,Monroe,St,Norwalk,OH,44857,1532,David Rau,David,Rau,President,Male,25,,"$2,674,365 ",(419) 668-3771,(419) 668-2424,(800) 589-3771,Huron,"Up to 24,999","Norwalk, OH",41.244591,-82.614006,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",www.norwalkreflector.com,No,1829,,91,2674365,2353441,2353441,13.64,0,No,,
AAA Newsletter,24710 Shaker Blvd,24710,Shaker,Blvd,Beachwood,OH,44122,2354,Karen Lancendorfer,Karen,Lancendorfer,President,Female,19,,"$944,224 ",(786) 393-3333,N/A,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.477432,-81.503917,Business Associations,8611001,Business Associations,813910,Business Associations,No,10 to 24,Private,"1,000 to 4,999",,No,1957,,0,944224,1192704,1391488,-20.83,-14.29,No,,
Academy of Accounting Historians,10900 Euclid Ave,10900,Euclid,Ave,Cleveland,OH,44106,1712,Robert Colson,Robert,Colson,President,Male,19,,"$944,224 ",(216) 368-2058,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.5046038,-81.6098775,Business Associations,8611001,Business Associations,813910,Business Associations,No,10 to 24,Private,"1,000 to 4,999",,No,1973,,0,944224,844832,894528,11.76,-5.56,No,,
Akron Beacon Journal,4174 Karg Industrial Pkwy,4174,Karg Indus,Pkwy,Kent,OH,44240,, ,,,,,7,,"$802,467 ",(330) 346-0196,N/A,N/A,Portage,"25,000 to 49,999","Akron, OH",41.10320145,-81.35835978,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.ohio.com,No,2006,,86,802467,802467,917105,0,-12.5,No,,
Akron Legal News,60 S Summit St,60,Summit,St,Akron,OH,44308,1775,Bob Heffern,Bob,Heffern,Executive Officer,Male,16,,"$1,834,210 ",(330) 376-0917,(330) 376-7001,N/A,Summit,"100,000 to 249,999","Akron, OH",41.082488,-81.514428,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.akronlegalnews.com,No,1921,,93,1834210,1375657,917105,33.33,50,No,,
